City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
317,gushikawa,JP,87.39,scattered clouds,26.3544,127.8686,Kirari Guest House
318,baruun-urt,MN,83.34,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
320,roma,US,61.84,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
322,nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
323,chernyshevskiy,RU,79.0,few clouds,63.0128,112.4714,Chernyseyskiy
324,bireun,ID,87.1,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
325,sao filipe,CV,74.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
326,yangambi,CD,72.68,overcast clouds,0.8102,24.4336,
331,hauge,NO,60.69,overcast clouds,58.3436,6.2812,Sogndalstrand Kulturhotell
333,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
334,kudahuvadhoo,MV,81.9,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
335,picton,AU,64.47,clear sky,-34.1833,150.6,Picton Valley Motel
338,waddan,LY,73.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
339,mansehra,PK,76.05,overcast clouds,34.3333,73.2,Aashiana Hotel Manshera
340,portland,US,88.39,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
341,chardara,KZ,85.28,clear sky,41.2547,67.9692,Жанаргул
342,zhongshu,CN,75.79,broken clouds,24.5167,103.7667,Xintianlong Hotel
343,nara,JP,92.52,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
344,bonthe,SL,76.86,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
345,san lawrenz,MT,80.85,clear sky,36.0553,14.204,San Andrea Hotel
347,marshall,US,78.1,clear sky,34.3834,-86.3333,Riverview Campground
349,namibe,AO,63.54,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
351,kutum,SD,75.2,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
353,guasdualito,VE,71.8,overcast clouds,7.2424,-70.7324,Hotel Cuibas
355,kidal,ML,86.36,scattered clouds,18.4411,1.4078,
356,mecca,SA,87.76,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
359,sitka,US,64.29,few clouds,57.0531,-135.33,Westmark Sitka
360,linfen,CN,90.81,clear sky,36.0889,111.5189,Suoxing Hotel
363,ugoofaaru,MV,82.65,overcast clouds,5.6667,73.0,Ungoofaaru Inn
364,oktyabrskiy,RU,65.44,few clouds,54.4815,53.471,Уязы-Тау гостиница
365,starokorsunskaya,RU,70.9,clear sky,45.0573,39.3161,motel and cafe near the road
366,yamada,JP,80.4,broken clouds,39.4667,141.95,Iroha-ya Inn
367,calafell,ES,74.68,clear sky,41.2,1.5683,Hotel Kursaal Calafell Playa
368,umm lajj,SA,85.96,scattered clouds,25.0213,37.2685,Moon light Furnished Units
370,naze,JP,83.32,few clouds,28.3667,129.4833,奄美ポートタワーホテル
373,manosque,FR,69.76,clear sky,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
374,rochester,US,64.08,clear sky,43.1548,-77.6156,Hyatt Regency Rochester
375,preobrazheniye,RU,81.18,clear sky,42.9019,133.9064,Campsite Orlan
376,tommot,RU,71.85,clear sky,58.9564,126.2925,Gostinitsa Tommot
377,poum,NC,73.47,clear sky,-20.2333,164.0167,Gîte kajeon
378,gizeh,EG,79.54,clear sky,30.0081,31.2109,Four Seasons Hotel Cairo at The First Residence
380,singaraja,ID,85.53,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
382,guymon,US,83.32,clear sky,36.6828,-101.4816,Super 8 Guymon
383,san policarpo,PH,91.27,overcast clouds,12.1791,125.5072,JM Lodge
384,fort nelson,CA,74.79,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
388,hami,CN,100.29,broken clouds,42.8,93.45,Laoyutang Resort
390,sambava,MG,66.69,clear sky,-14.2667,50.1667,Melrose
391,save,BJ,70.41,overcast clouds,8.0425,2.486,Restaurant Plazza Hotel
393,hasaki,JP,91.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
394,tual,ID,81.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
395,chama,CH,64.62,few clouds,47.1821,8.4636,City Garden Hotel
397,guacimo,CR,83.01,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
398,gat,IL,77.92,clear sky,31.61,34.7642,OlusHome
399,kununurra,AU,94.98,clear sky,-15.7667,128.7333,Hotel Kununurra
400,norsup,VU,80.08,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
401,garowe,SO,75.67,overcast clouds,8.4054,48.4845,Curubo Hotel
402,coahuayana,MX,77.94,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
404,puertollano,ES,77.16,clear sky,38.6871,-4.1073,Hotel Puertollano
405,cepu,ID,88.93,scattered clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
406,salalah,OM,76.53,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
407,taybad,IR,84.13,clear sky,34.74,60.7756,لی پوش jean center
408,bay roberts,CA,68.5,overcast clouds,47.5999,-53.2648,Stonewall Inn
410,batticaloa,LK,87.91,overcast clouds,7.7102,81.6924,Grand Star Guest House
411,bolshaya glushitsa,RU,77.68,overcast clouds,50.2406,43.5908,
412,bilma,NE,89.58,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
415,acarau,BR,76.98,scattered clouds,-2.8856,-40.12,castelo pizzaria
417,abbeville,FR,60.76,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
418,san cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
419,penzance,GB,60.01,broken clouds,50.1186,-5.5371,Artist Residence Penzance
420,merauke,ID,82.6,scattered clouds,-8.4667,140.3333,
421,airai,TL,77.99,clear sky,-8.9266,125.4092,Juvinal Martin
422,gisenyi,RW,62.64,broken clouds,-1.7028,29.2564,Palm garden Resort
424,ambanja,MG,64.33,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
425,calamar,CO,82.35,clear sky,10.2511,-74.9146,Hostal Katyalex
