City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
61,lompoc,90,US,overcast clouds,83,34.6391,-120.4579,66.11,0.0,0.0,6.91
62,tiksi,22,RU,few clouds,70,71.6872,128.8694,46.71,0.0,0.0,8.9
63,arraial do cabo,100,BR,overcast clouds,87,-22.9661,-42.0278,63.95,0.0,0.0,27.49
64,new norfolk,39,AU,light rain,45,-42.7826,147.0587,53.92,0.13,0.13,11.48
65,tuktoyaktuk,75,CA,broken clouds,76,69.4541,-133.0374,53.6,0.0,0.0,10.36
66,hithadhoo,100,MV,moderate rain,74,-0.6,73.0833,80.58,3.65,3.65,5.19
67,vestmannaeyjar,20,IS,few clouds,85,63.4427,-20.2734,53.51,0.0,0.0,6.29
68,nha trang,97,VN,overcast clouds,51,12.25,109.1833,96.8,0.0,0.0,1.79
69,zhangye,0,CN,clear sky,11,38.9342,100.4517,91.72,0.0,0.0,4.47
70,bredasdorp,69,ZA,broken clouds,62,-34.5322,20.0403,60.28,0.0,0.0,16.11
71,hobart,75,AU,broken clouds,64,-42.8794,147.3294,54.27,0.0,0.0,8.99
72,kahului,40,US,scattered clouds,76,20.8947,-156.47,81.66,0.0,0.0,18.41
73,dunmore town,7,BS,clear sky,77,25.5,-76.65,83.34,0.0,0.0,10.51
74,mount gambier,40,AU,scattered clouds,87,-37.8333,140.7667,53.51,0.0,0.0,9.22
75,siilinjarvi,100,FI,shower rain,94,63.0833,27.6667,62.62,0.13,0.13,6.91
76,ponta delgada,75,PT,broken clouds,88,37.7333,-25.6667,70.52,0.0,0.0,4.61
77,bethel,75,US,broken clouds,85,41.3712,-73.414,70.48,0.0,0.0,4.61
78,punta alta,5,AR,clear sky,57,-38.8759,-62.0736,42.28,0.0,0.0,14.54
79,bartica,7,GY,clear sky,98,6.4,-58.6167,75.52,0.0,0.0,1.95
80,broome,0,US,clear sky,93,42.2506,-75.833,61.66,0.0,0.0,0.87
